1	10	10
21	21	2	2
 1.9926e-01	 1.3605e+00	-1.9522e-06	 1.3694e-04	 1.3696e-04
 9.8545e-02	 1.3715e+00	-9.1777e-07	 1.3870e-04	 1.3870e-04
 0.0000e+00	 1.3750e+00	 0.0000e+00	 1.3914e-04	 1.3914e-04
 1.4375e+00	 0.0000e+00	-5.8993e-05	 0.0000e+00	 5.8993e-05
 1.4338e+00	 1.0302e-01	-5.8588e-05	 6.6823e-06	 5.8968e-05
 1.4223e+00	 2.0832e-01	-5.7447e-05	 1.3605e-05	 5.9036e-05
 1.4025e+00	 3.1507e-01	-5.5440e-05	 2.0788e-05	 5.9209e-05
 1.3741e+00	 4.2235e-01	-5.2563e-05	 2.8327e-05	 5.9710e-05
 1.3366e+00	 5.2914e-01	-4.8937e-05	 3.6329e-05	 6.0948e-05
 1.2900e+00	 6.3432e-01	-4.4715e-05	 4.4838e-05	 6.3323e-05
 1.2343e+00	 7.3677e-01	-4.0017e-05	 5.3830e-05	 6.7075e-05
 1.1699e+00	 8.3534e-01	-3.4954e-05	 6.3173e-05	 7.2199e-05
 1.0970e+00	 9.2892e-01	-2.9833e-05	 7.2633e-05	 7.8521e-05
 1.0165e+00	 1.0165e+00	-2.4933e-05	 8.2044e-05	 8.5749e-05
 9.2892e-01	 1.0970e+00	-2.0374e-05	 9.1355e-05	 9.3600e-05
 8.3534e-01	 1.1699e+00	-1.6199e-05	 1.0049e-04	 1.0179e-04
 7.3677e-01	 1.2343e+00	-1.2483e-05	 1.0915e-04	 1.0986e-04
 6.3432e-01	 1.2900e+00	-9.3099e-06	 1.1694e-04	 1.1731e-04
 5.2914e-01	 1.3366e+00	-6.6788e-06	 1.2381e-04	 1.2399e-04
 4.2235e-01	 1.3741e+00	-4.5749e-06	 1.2965e-04	 1.2973e-04
 3.1507e-01	 1.4025e+00	-2.9778e-06	 1.3424e-04	 1.3428e-04
 2.0832e-01	 1.4223e+00	-1.8005e-06	 1.3741e-04	 1.3742e-04
 1.0302e-01	 1.4338e+00	-8.6876e-07	 1.3915e-04	 1.3915e-04
 0.0000e+00	 1.4375e+00	 0.0000e+00	 1.3971e-04	 1.3971e-04
 1.5000e+00	 0.0000e+00	-5.9753e-05	 0.0000e+00	 5.9753e-05
 1.4961e+00	 1.0750e-01	-5.9289e-05	 6.6355e-06	 5.9659e-05
 1.4842e+00	 2.1738e-01	-5.8128e-05	 1.3532e-05	 5.9683e-05
 1.4635e+00	 3.2877e-01	-5.6123e-05	 2.0701e-05	 5.9819e-05
 1.4338e+00	 4.4072e-01	-5.3233e-05	 2.8220e-05	 6.0250e-05
 1.3947e+00	 5.5214e-01	-4.9557e-05	 3.6177e-05	 6.1357e-05
 1.3461e+00	 6.6190e-01	-4.5253e-05	 4.4646e-05	 6.3570e-05
 1.2880e+00	 7.6881e-01	-4.0439e-05	 5.3645e-05	 6.7179e-05
 1.2207e+00	 8.7166e-01	-3.5262e-05	 6.3032e-05	 7.2226e-05
