要素番号	頂点番号	xx	yy	xy	zz
165	0	-7.203182965956678e-02	1.012816409692383e+01	9.984604279702956e-03	3.016839680179277e+00
165	1	-4.874812821438468e-02	1.008808219966602e+01	2.320626348948547e-02	3.011800221435490e+00
165	2	-5.944067506954909e-02	1.010909119573904e+01	-1.239463564454219e-02	3.014895156200847e+00
165	3	-4.099743263047984e-02	1.007743999549084e+01	3.727871227958238e-03	3.010932768858107e+00
166	0	-4.874812821440067e-02	1.008808219966601e+01	2.320626348948412e-02	3.011800221435482e+00
166	1	-2.948905091991882e-02	1.005024693946235e+01	2.805803850464558e-02	3.006227366562727e+00
166	2	-4.099743263049316e-02	1.007743999549083e+01	3.727871227960386e-03	3.010932768858101e+00
166	3	-2.497379805991606e-02	1.004737798701704e+01	1.204057794891598e-02	3.006721256687138e+00
167	0	-2.948905091991882e-02	1.005024693946235e+01	2.805803850464558e-02	3.006227366562727e+00
167	1	-1.431241757463209e-02	1.001733929715437e+01	2.537220649506770e-02	3.000908063873921e+00
167	2	-2.497379805991606e-02	1.004737798701704e+01	1.204057794891598e-02	3.006721256687138e+00
167	3	-1.218147113456336e-02	1.002133187318604e+01	1.332547153171856e-02	3.002745120615442e+00
168	0	-1.431241757463209e-02	1.001733929715437e+01	2.537220649506770e-02	3.000908063873921e+00
168	1	-3.998318394208056e-03	9.992273106387792e+00	1.574877340664300e-02	2.996482436398075e+00
168	2	-1.218147113456336e-02	1.002133187318604e+01	1.332547153171856e-02	3.002745120615442e+00
168	3	-3.383715654541319e-03	1.000214588583096e+01	8.733258531870234e-03	2.999628651052925e+00
169	0	-3.998318394208056e-03	9.992273106387792e+00	1.574877340664300e-02	2.996482436398075e+00
169	1	6.660163798688501e-05	9.979351350342512e+00	-1.704713133389672e-05	2.993825385594150e+00
169	2	-3.383715654541319e-03	1.000214588583096e+01	8.733258531870234e-03	2.999628651052925e+00
169	3	6.806768845635247e-05	9.993411189496502e+00	-1.589280312277137e-05	2.998043777155487e+00
170	0	1.514700479414355e-01	9.539937843822218e+00	1.956124918104722e-03	2.907422367529096e+00
170	1	1.423354141370270e-01	9.584279066010314e+00	-1.353717662898536e-01	2.917984344044202e+00
170	2	1.819885937055332e-01	9.688273991669821e+00	-7.064151643069240e-04	2.961078775612606e+00
170	3	1.648899614873347e-01	9.703038810273297e+00	-1.065097600050839e-01	2.960378631528189e+00
171	0	1.423354141370181e-01	9.584279066010293e+00	-1.353717662898569e-01	2.917984344044193e+00
171	1	8.719074523926018e-02	9.674229543426998e+00	-2.428280607450517e-01	2.928426086599877e+00
171	2	1.648899614873338e-01	9.703038810273293e+00	-1.065097600050839e-01	2.960378631528188e+00
171	3	1.307445006549415e-01	9.762313383645312e+00	-1.958928154229571e-01	2.967917365290076e+00
172	0	8.719074523926018e-02	9.674229543426998e+00	-2.428280607450511e-01	2.928426086599877e+00
172	1	1.911000508455629e-02	9.794296982331861e+00	-3.128949332045134e-01	2.944022096224925e+00
172	2	1.307445006549406e-01	9.762313383645312e+00	-1.958928154229538e-01	2.967917365290075e+00
172	3	8.129216350753588e-02	9.844624240159273e+00	-2.533899884258337e-01	2.977774921100043e+00
173	0	1.911000508455007e-02	9.794296982331847e+00	-3.128949332045139e-01	2.944022096224919e+00
173	1	-4.104747590911551e-02	9.926539796408834e+00	-3.330131592676933e-01	2.965647696149915e+00
173	2	8.129216350754298e-02	9.844624240159291e+00	-2.533899884258310e-01	2.977774921100050e+00
173	3	2.690544626503932e-02	9.929195697206730e+00	-2.792974906110058e-01	2.986830343041531e+00
174	0	-4.104747590912261e-02	9.926539796408825e+00	-3.330131592676933e-01	2.965647696149911e+00
174	1	-9.370438531112590e-02	1.003246853264664e+01	-3.159473531550055e-01	2.981629244200654e+00
174	2	2.690544626503755e-02	9.929195697206730e+00	-2.792974906110064e-01	2.986830343041530e+00
174	3	-1.737600243478710e-02	1.001054309008617e+01	-2.750302906067592e-01	2.997950126295415e+00
175	0	-9.370438531112590e-02	1.003246853264664e+01	-3.159473531550055e-01	2.981629244200654e+00
175	1	-1.230555871223729e-01	1.011406612268853e+01	-2.729526067594390e-01	2.997303160669847e+00
175	2	-1.737600243478710e-02	1.001054309008617e+01	-2.750302906067592e-01	2.997950126295415e+00
175	3	-5.097783702239767e-02	1.007157612644586e+01	-2.497317284631322e-01	3.006179486827039e+00
176	0	-1.230555871223595e-01	1.011406612268857e+01	-2.729526067594417e-01	2.997303160669862e+00
176	1	-1.357449438023801e-01	1.016129377835676e+01	-2.195058406819012e-01	3.007664650366314e+00
176	2	-5.097783702240477e-02	1.007157612644584e+01	-2.497317284631279e-01	3.006179486827032e+00
176	3	-6.953440161907931e-02	1.011318531750165e+01	-2.109540156391542e-01	3.013095274764771e+00
177	0	-1.357449438023854e-01	1.016129377835676e+01	-2.195058406818985e-01	3.007664650366312e+00
177	1	-1.317265258376663e-01	1.018249550542831e+01	-1.639672209176320e-01	3.015230693877194e+00
177	2	-6.953440161907931e-02	1.011318531750165e+01	-2.109540156391558e-01	3.013095274764771e+00
177	3	-7.703703995969491e-02	1.013323896472301e+01	-1.674827541307712e-01	3.016860577428995e+00
178	0	-1.317265258376663e-01	1.018249550542831e+01	-1.639672209176320e-01	3.015230693877194e+00
178	1	-1.189398822619667e-01	1.018094121075185e+01	-1.135631040270694e-01	3.018600398546964e+00
178	2	-7.703703995969491e-02	1.013323896472301e+01	-1.674827541307712e-01	3.016860577428995e+00
