要素番号	ガウス点番号	xx	yy	xy	zz
484	15	-2.101481561619080e-05	3.200141956889397e-05	-4.225139982662307e-05	0.000000000000000e+00
485	0	-2.356558830628108e-05	3.755828789117631e-05	-4.216801259324729e-05	0.000000000000000e+00
485	1	-2.369288041604593e-05	3.783213670177455e-05	-4.202241762954284e-05	0.000000000000000e+00
485	2	-2.384999045424667e-05	3.816010482391293e-05	-4.181292715808419e-05	0.000000000000000e+00
485	3	-2.396348384849687e-05	3.840670825398923e-05	-4.162893284301983e-05	0.000000000000000e+00
485	4	-2.284297158817857e-05	3.591889977876501e-05	-4.257424245879378e-05	0.000000000000000e+00
485	5	-2.296914935575752e-05	3.621840400503034e-05	-4.246364099883165e-05	0.000000000000000e+00
485	6	-2.312697918177650e-05	3.658207405132980e-05	-4.229716503048781e-05	0.000000000000000e+00
485	7	-2.324300981247708e-05	3.685643714118272e-05	-4.214349157040647e-05	0.000000000000000e+00
485	8	-2.185664959405145e-05	3.383729983307437e-05	-4.264605412202469e-05	0.000000000000000e+00
485	9	-2.197559110852142e-05	3.416830499049663e-05	-4.256956785009625e-05	0.000000000000000e+00
485	10	-2.212543397510256e-05	3.457189222733761e-05	-4.244508103206256e-05	0.000000000000000e+00
485	11	-2.223662683105041e-05	3.487474370714365e-05	-4.232207723094767e-05	0.000000000000000e+00
485	12	-2.107472941403440e-05	3.219860725921126e-05	-4.222476042155751e-05	0.000000000000000e+00
485	13	-2.118434260071659e-05	3.254842723696467e-05	-4.216314805562431e-05	0.000000000000000e+00
485	14	-2.132252764886665e-05	3.297534110032784e-05	-4.205585922122985e-05	0.000000000000000e+00
485	15	-2.142511138822437e-05	3.329452835017869e-05	-4.194564155480184e-05	0.000000000000000e+00
486	0	-2.402149730564433e-05	3.853990010226020e-05	-4.152099948260375e-05	0.000000000000000e+00
486	1	-2.412574435325277e-05	3.876761170690481e-05	-4.131574656963435e-05	0.000000000000000e+00
486	2	-2.425320663197247e-05	3.903447072687157e-05	-4.103639218792946e-05	0.000000000000000e+00
486	3	-2.434481445343482e-05	3.923414910965705e-05	-4.080371459655130e-05	0.000000000000000e+00
486	4	-2.330316416191105e-05	3.700424741069196e-05	-4.205048321828711e-05	0.000000000000000e+00
486	5	-2.341278818624216e-05	3.725978007237926e-05	-4.186892157889761e-05	0.000000000000000e+00
486	6	-2.354954314904225e-05	3.756320749057439e-05	-4.161237936868606e-05	0.000000000000000e+00
486	7	-2.364969432510340e-05	3.779049757810391e-05	-4.139165551672958e-05	0.000000000000000e+00
486	8	-2.229472629916255e-05	3.503680353498445e-05	-4.224487131971319e-05	0.000000000000000e+00
486	9	-2.240180708703454e-05	3.531979295412815e-05	-4.209007113681122e-05	0.000000000000000e+00
486	10	-2.253754479848188e-05	3.566009742234915e-05	-4.186353956920203e-05	0.000000000000000e+00
486	11	-2.263836936235986e-05	3.591563515285228e-05	-4.166310272249294e-05	0.000000000000000e+00
486	12	-2.147874117065119e-05	3.346471019996940e-05	-4.187541087450539e-05	0.000000000000000e+00
486	13	-2.157801907566824e-05	3.376410639497516e-05	-4.173323974167053e-05	0.000000000000000e+00
486	14	-2.170464468977883e-05	3.412786067096548e-05	-4.152314863187621e-05	0.000000000000000e+00
486	15	-2.179915901182367e-05	3.440226487390729e-05	-4.133624429351658e-05	0.000000000000000e+00
487	0	-2.439160266918688e-05	3.934232667462803e-05	-4.067129139353538e-05	0.000000000000000e+00
487	1	-2.447550513512049e-05	3.952075169123224e-05	-4.042325258035904e-05	0.000000000000000e+00
487	2	-2.457755658038272e-05	3.971778988939373e-05	-4.009277540713928e-05	0.000000000000000e+00
487	3	-2.465034325326654e-05	3.985927564626855e-05	-3.982313727915163e-05	0.000000000000000e+00
487	4	-2.370146076523543e-05	3.791308049802459e-05	-4.126379670346463e-05	0.000000000000000e+00
487	5	-2.379559712480874e-05	3.811819581868508e-05	-4.102096837896658e-05	0.000000000000000e+00
487	6	-2.391212356921321e-05	3.835004777191654e-05	-4.069342055816711e-05	0.000000000000000e+00
487	7	-2.399625815053027e-05	3.851877131817455e-05	-4.042553532231973e-05	0.000000000000000e+00
487	8	-2.269094398384292e-05	3.605320083535786e-05	-4.154526872122110e-05	0.000000000000000e+00
487	9	-2.278781010385336e-05	3.628911679982666e-05	-4.131824294470521e-05	0.000000000000000e+00
487	10	-2.291027532987808e-05	3.656679903231075e-05	-4.100687637690099e-05	0.000000000000000e+00
487	11	-2.300069506324890e-05	3.677478320071137e-05	-4.074962063335924e-05	0.000000000000000e+00
487	12	-2.184856804188016e-05	3.455015988035623e-05	-4.122609384481635e-05	0.000000000000000e+00
487	13	-2.193996885647404e-05	3.480838389718263e-05	-4.101228738929560e-05	0.000000000000000e+00
487	14	-2.205680874058934e-05	3.512054582014573e-05	-4.071544425695737e-05	0.000000000000000e+00
487	15	-2.214456598694546e-05	3.535827522546718e-05	-4.046728572270146e-05	0.000000000000000e+00
488	0	-2.468730848883729e-05	3.993485054718442e-05	-3.967135986637451e-05	0.000000000000000e+00
488	1	-2.475403675528604e-05	4.005277439013772e-05	-3.938540742560677e-05	0.000000000000000e+00
488	2	-2.483767203241604e-05	4.017203984282110e-05	-3.899972613382397e-05	0.000000000000000e+00
488	3	-2.490062490174535e-05	4.025385491055624e-05	-3.868151998988277e-05	0.000000000000000e+00
488	4	-2.403910723432334e-05	3.860913811549859e-05	-4.027509444249587e-05	0.000000000000000e+00
488	5	-2.411510132536095e-05	3.875396254765246e-05	-3.999096060832015e-05	0.000000000000000e+00
488	6	-2.420717935109022e-05	3.890705229483961e-05	-3.960789097184151e-05	0.000000000000000e+00
488	7	-2.427390836714226e-05	3.901451208933451e-05	-3.929365632295177e-05	0.000000000000000e+00
488	8	-2.304739004859906e-05	3.688741520077281e-05	-4.060446427301225e-05	0.000000000000000e+00
488	9	-2.312971293084175e-05	3.707523924951642e-05	-4.032667913364528e-05	0.000000000000000e+00
488	10	-2.322704604187164e-05	3.728700590824969e-05	-3.994706469582581e-05	0.000000000000000e+00
488	11	-2.329468425403764e-05	3.744186445636129e-05	-3.963430616956506e-05	0.000000000000000e+00
488	12	-2.219056091025915e-05	3.548773755106451e-05	-4.032615879726986e-05	0.000000000000000e+00
488	13	-2.227257030320332e-05	3.570934845826767e-05	-4.005305236104434e-05	0.000000000000000e+00
488	14	-2.236986127257358e-05	3.596959073475101e-05	-3.967589784725316e-05	0.000000000000000e+00
488	15	-2.243637028258683e-05	3.616495923805966e-05	-3.936427596050992e-05	0.000000000000000e+00
