要素番号	ガウス点番号	disp_x	disp_y
5	11	-8.410057297548079e-05	1.786538686434952e-05
5	12	-7.534229905558354e-05	2.538565669519168e-05
5	13	-7.789203329167763e-05	2.528688216804620e-05
5	14	-8.109188044768690e-05	2.503475407895373e-05
5	15	-8.354453142555649e-05	2.484412873528068e-05
6	0	-8.594309577791941e-05	1.856893294507403e-06
6	1	-8.841861178645978e-05	1.852934831060042e-06
6	2	-9.175481801861433e-05	1.842587669781003e-06
6	3	-9.435444257523305e-05	1.835036162937243e-06
6	4	-8.585057962401171e-05	8.793827479812519e-06
6	5	-8.832999785062735e-05	8.773538624535877e-06
6	6	-9.165027720010727e-05	8.749495585201317e-06
6	7	-9.423940360222252e-05	8.735019856616802e-06
6	8	-8.541287784375968e-05	1.782080425623686e-05
6	9	-8.793496106280950e-05	1.777620528606989e-05
6	10	-9.131324378642483e-05	1.776635057103784e-05
6	11	-9.394290385007680e-05	1.776991822837340e-05
6	12	-8.488090586425763e-05	2.477265890085629e-05
6	13	-8.745851969056108e-05	2.470761503302290e-05
6	14	-9.091618283005116e-05	2.470599002318536e-05
6	15	-9.359972093428418e-05	2.472072134874888e-05
7	0	-9.574318603277922e-05	1.832453606245014e-06
7	1	-9.834898317572755e-05	1.830794921702410e-06
7	2	-1.017628818691404e-04	1.832190286870703e-06
7	3	-1.044035241030977e-04	1.833528345755061e-06
7	4	-9.562850778420319e-05	8.729330277629131e-06
7	5	-9.824770524213166e-05	8.722238305040737e-06
7	6	-1.016911601404480e-04	8.716776575024447e-06
7	7	-1.043519649557496e-04	8.712563021292059e-06
7	8	-9.535050052980739e-05	1.776795679912517e-05
7	9	-9.799785368342640e-05	1.775262341050402e-05
7	10	-1.014683933675296e-04	1.771912814616296e-05
7	11	-1.041454778971865e-04	1.769176188616970e-05
7	12	-9.502987692295813e-05	2.471984478073728e-05
7	13	-9.770695255313255e-05	2.469432420030726e-05
7	14	-1.012004199279671e-04	2.463419855165282e-05
7	15	-1.038910244342388e-04	2.458595186301061e-05
8	0	-1.058232592910880e-04	1.833597071255757e-06
8	1	-1.085117247292863e-04	1.832189886324752e-06
8	2	-1.120561828121237e-04	1.828625282770978e-06
8	3	-1.147910165195885e-04	1.825744762926622e-06
8	4	-1.057780359390861e-04	8.709426657424750e-06
8	5	-1.084690544645376e-04	8.701556547807821e-06
8	6	-1.120068393106745e-04	8.689263434412006e-06
8	7	-1.147364654997144e-04	8.679995194315348e-06
8	8	-1.055795170809518e-04	1.767917936448964e-05
8	9	-1.082848722599841e-04	1.766069702465807e-05
8	10	-1.118400424812078e-04	1.764310447132938e-05
8	11	-1.145818569677435e-04	1.763136315701009e-05
8	12	-1.053332675127730e-04	2.456500845936736e-05
8	13	-1.080570760879590e-04	2.453733829726435e-05
8	14	-1.116385625817077e-04	2.451547384735450e-05
8	15	-1.143988128434323e-04	2.450175801138526e-05
9	0	-1.162518708483055e-04	1.824510891148360e-06
9	1	-1.189978118270516e-04	1.822923140369012e-06
9	2	-1.225927282327814e-04	1.821690572445570e-06
9	3	-1.253602990662573e-04	1.820849797539417e-06
9	4	-1.161967876268749e-04	8.675622998397666e-06
9	5	-1.189467639329958e-04	8.668662324957743e-06
9	6	-1.225520696743279e-04	8.660925057094590e-06
9	7	-1.253271933280391e-04	8.655025532266335e-06
9	8	-1.160482336291373e-04	1.762474267924434e-05
9	9	-1.188087050994163e-04	1.761099738676792e-05
9	10	-1.224259718662963e-04	1.759126885426458e-05
9	11	-1.252089065712949e-04	1.757551775338300e-05
9	12	-1.158733626675083e-04	2.449315761502880e-05
9	13	-1.186457072078701e-04	2.447323688629656e-05
9	14	-1.222738818455668e-04	2.444257413599145e-05
9	15	-1.250636829237272e-04	2.441802933035005e-05
10	0	-1.268403636760385e-04	1.820276320801802e-06
10	1	-1.296274060299675e-04	1.818877323301873e-06
10	2	-1.332792786377559e-04	1.816631288857370e-06
10	3	-1.360870262834212e-04	1.814783135419090e-06
10	4	-1.268098343091476e-04	8.651591677506466e-06
10	5	-1.295985165941469e-04	8.644448146320284e-06
10	6	-1.332489656102352e-04	8.634177441823149e-06
10	7	-1.360553598049965e-04	8.625965582519709e-06
10	8	-1.266952215630614e-04	1.756712493981627e-05
10	9	-1.294899684161582e-04	1.755150988904280e-05
10	10	-1.331471136578987e-04	1.753115390061790e-05
10	11	-1.359580782431101e-04	1.751533811932154e-05
10	12	-1.265537350860415e-04	2.440534293544545e-05
