1	10	10
21	21	2	2
 1.0493e+00	 8.8853e-01	-2.9992e-05	 7.3164e-05	 7.9073e-05
 9.7227e-01	 9.7227e-01	-2.5233e-05	 8.2563e-05	 8.6333e-05
 8.8853e-01	 1.0493e+00	-2.0722e-05	 9.1858e-05	 9.4166e-05
 7.9902e-01	 1.1190e+00	-1.6537e-05	 1.0086e-04	 1.0221e-04
 7.0474e-01	 1.1807e+00	-1.2798e-05	 1.0938e-04	 1.1012e-04
 6.0674e-01	 1.2339e+00	-9.6069e-06	 1.1711e-04	 1.1751e-04
 5.0613e-01	 1.2785e+00	-6.9661e-06	 1.2387e-04	 1.2407e-04
 4.0399e-01	 1.3143e+00	-4.8464e-06	 1.2954e-04	 1.2963e-04
 3.0138e-01	 1.3416e+00	-3.2065e-06	 1.3403e-04	 1.3407e-04
 1.9926e-01	 1.3605e+00	-1.9486e-06	 1.3724e-04	 1.3725e-04
 9.8545e-02	 1.3715e+00	-9.2675e-07	 1.3909e-04	 1.3909e-04
 0.0000e+00	 1.3750e+00	 0.0000e+00	 1.3957e-04	 1.3957e-04
 1.4500e+00	 0.0000e+00	-5.9420e-05	 0.0000e+00	 5.9420e-05
 1.4463e+00	 1.0392e-01	-5.9011e-05	 6.6668e-06	 5.9386e-05
 1.4347e+00	 2.1013e-01	-5.7796e-05	 1.3552e-05	 5.9364e-05
 1.4147e+00	 3.1781e-01	-5.5755e-05	 2.0714e-05	 5.9479e-05
 1.3860e+00	 4.2603e-01	-5.2912e-05	 2.8255e-05	 5.9983e-05
 1.3482e+00	 5.3374e-01	-4.9318e-05	 3.6265e-05	 6.1216e-05
 1.3012e+00	 6.3984e-01	-4.5052e-05	 4.4773e-05	 6.3516e-05
 1.2451e+00	 7.4318e-01	-4.0260e-05	 5.3772e-05	 6.7173e-05
 1.1800e+00	 8.4261e-01	-3.5186e-05	 6.3166e-05	 7.2305e-05
 1.1066e+00	 9.3700e-01	-3.0115e-05	 7.2728e-05	 7.8717e-05
 1.0253e+00	 1.0253e+00	-2.5211e-05	 8.2242e-05	 8.6020e-05
 9.3700e-01	 1.1066e+00	-2.0551e-05	 9.1653e-05	 9.3929e-05
 8.4261e-01	 1.1800e+00	-1.6216e-05	 1.0083e-04	 1.0213e-04
 7.4318e-01	 1.2451e+00	-1.2390e-05	 1.0953e-04	 1.1023e-04
 6.3984e-01	 1.3012e+00	-9.1800e-06	 1.1744e-04	 1.1780e-04
 5.3374e-01	 1.3482e+00	-6.5678e-06	 1.2432e-04	 1.2450e-04
 4.2603e-01	 1.3860e+00	-4.5095e-06	 1.3007e-04	 1.3014e-04
 3.1781e-01	 1.4147e+00	-2.9593e-06	 1.3456e-04	 1.3459e-04
 2.1013e-01	 1.4347e+00	-1.8091e-06	 1.3774e-04	 1.3775e-04
 1.0392e-01	 1.4463e+00	-8.8023e-07	 1.3959e-04	 1.3959e-04
 0.0000e+00	 1.4500e+00	 0.0000e+00	 1.4020e-04	 1.4020e-04
 1.5250e+00	 0.0000e+00	-6.0282e-05	 0.0000e+00	 6.0282e-05
 1.5211e+00	 1.0930e-01	-5.9834e-05	 6.6431e-06	 6.0202e-05
 1.5089e+00	 2.2100e-01	-5.8598e-05	 1.3523e-05	 6.0138e-05
 1.4879e+00	 3.3425e-01	-5.6540e-05	 2.0690e-05	 6.0206e-05
