1	5	5
76	76	15	15
-1.2500e+02	 7.8333e+01	 2.3610e-04	 3.4614e-04	 4.1899e-04
-1.2500e+02	 8.1667e+01	 2.3606e-04	 3.6087e-04	 4.3122e-04
-1.2500e+02	 8.5000e+01	 2.3601e-04	 3.7560e-04	 4.4360e-04
-1.2500e+02	 8.8333e+01	 2.3597e-04	 3.9034e-04	 4.5612e-04
-1.2500e+02	 9.1667e+01	 2.3592e-04	 4.0506e-04	 4.6876e-04
-1.2500e+02	 9.5000e+01	 2.3587e-04	 4.1979e-04	 4.8152e-04
-1.2500e+02	 9.8333e+01	 2.3583e-04	 4.3452e-04	 4.9439e-04
-1.2500e+02	 1.0167e+02	 2.3578e-04	 4.4925e-04	 5.0736e-04
-1.2500e+02	 1.0500e+02	 2.3573e-04	 4.6397e-04	 5.2042e-04
-1.2500e+02	 1.0833e+02	 2.3568e-04	 4.7870e-04	 5.3357e-04
-1.2500e+02	 1.1167e+02	 2.3563e-04	 4.9342e-04	 5.4680e-04
-1.2500e+02	 1.1500e+02	 2.3558e-04	 5.0815e-04	 5.6010e-04
-1.2500e+02	 1.1833e+02	 2.3553e-04	 5.2287e-04	 5.7347e-04
-1.2500e+02	 1.2167e+02	 2.3548e-04	 5.3760e-04	 5.8691e-04
-1.2500e+02	 1.2500e+02	 2.3542e-04	 5.5232e-04	 6.0040e-04
-1.2167e+02	-1.2500e+02	 2.2993e-04	-5.5181e-04	 5.9779e-04
-1.2167e+02	-1.2167e+02	 2.2998e-04	-5.3708e-04	 5.8425e-04
-1.2167e+02	-1.1833e+02	 2.3003e-04	-5.2236e-04	 5.7076e-04
-1.2167e+02	-1.1500e+02	 2.3007e-04	-5.0763e-04	 5.5734e-04
-1.2167e+02	-1.1167e+02	 2.3013e-04	-4.9291e-04	 5.4398e-04
-1.2167e+02	-1.0833e+02	 2.3018e-04	-4.7819e-04	 5.3070e-04
-1.2167e+02	-1.0500e+02	 2.3023e-04	-4.6346e-04	 5.1749e-04
-1.2167e+02	-1.0167e+02	 2.3028e-04	-4.4874e-04	 5.0437e-04
-1.2167e+02	-9.8333e+01	 2.3033e-04	-4.3402e-04	 4.9134e-04
-1.2167e+02	-9.5000e+01	 2.3038e-04	-4.1929e-04	 4.7841e-04
-1.2167e+02	-9.1667e+01	 2.3042e-04	-4.0457e-04	 4.6559e-04
-1.2167e+02	-8.8333e+01	 2.3047e-04	-3.8985e-04	 4.5288e-04
-1.2167e+02	-8.5000e+01	 2.3052e-04	-3.7513e-04	 4.4030e-04
-1.2167e+02	-8.1667e+01	 2.3057e-04	-3.6041e-04	 4.2785e-04
-1.2167e+02	-7.8333e+01	 2.3061e-04	-3.4569e-04	 4.1555e-04
-1.2167e+02	-7.5000e+01	 2.3066e-04	-3.3097e-04	 4.0342e-04
-1.2167e+02	-7.1667e+01	 2.3070e-04	-3.1625e-04	 3.9146e-04
-1.2167e+02	-6.8333e+01	 2.3075e-04	-3.0153e-04	 3.7969e-04
-1.2167e+02	-6.5000e+01	 2.3079e-04	-2.8682e-04	 3.6814e-04
-1.2167e+02	-6.1667e+01	 2.3083e-04	-2.7210e-04	 3.5682e-04
-1.2167e+02	-5.8333e+01	 2.3086e-04	-2.5738e-04	 3.4575e-04
-1.2167e+02	-5.5000e+01	 2.3090e-04	-2.4267e-04	 3.3497e-04
-1.2167e+02	-5.1667e+01	 2.3093e-04	-2.2796e-04	 3.2449e-04
-1.2167e+02	-4.8333e+01	 2.3096e-04	-2.1324e-04	 3.1435e-04
-1.2167e+02	-4.5000e+01	 2.3099e-04	-1.9853e-04	 3.0458e-04
-1.2167e+02	-4.1667e+01	 2.3101e-04	-1.8382e-04	 2.9523e-04
-1.2167e+02	-3.8333e+01	 2.3103e-04	-1.6911e-04	 2.8631e-04
-1.2167e+02	-3.5000e+01	 2.3105e-04	-1.5440e-04	 2.7789e-04
-1.2167e+02	-3.1667e+01	 2.3106e-04	-1.3970e-04	 2.7001e-04
-1.2167e+02	-2.8333e+01	 2.3107e-04	-1.2499e-04	 2.6271e-04
-1.2167e+02	-2.5000e+01	 2.3108e-04	-1.1028e-04	 2.5604e-04
-1.2167e+02	-2.1667e+01	 2.3108e-04	-9.5574e-05	 2.5006e-04
-1.2167e+02	-1.8333e+01	 2.3107e-04	-8.0866e-05	 2.4481e-04
-1.2167e+02	-1.5000e+01	 2.3106e-04	-6.6158e-05	 2.4035e-04
-1.2167e+02	-1.1667e+01	 2.3105e-04	-5.1450e-05	 2.3670e-04
-1.2167e+02	-8.3333e+00	 2.3103e-04	-3.6741e-05	 2.3393e-04
-1.2167e+02	-5.0000e+00	 2.3100e-04	-2.2032e-05	 2.3205e-04
-1.2167e+02	-1.6667e+00	 2.3097e-04	-7.3204e-06	 2.3109e-04
-1.2167e+02	 1.6667e+00	 2.3094e-04	 7.3924e-06	 2.3106e-04
-1.2167e+02	 5.0000e+00	 2.3090e-04	 2.2107e-05	 2.3196e-04
-1.2167e+02	 8.3333e+00	 2.3086e-04	 3.6822e-05	 2.3378e-04
-1.2167e+02	 1.1667e+01	 2.3082e-04	 5.1540e-05	 2.3650e-04
-1.2167e+02	 1.5000e+01	 2.3077e-04	 6.6260e-05	 2.4009e-04
-1.2167e+02	 1.8333e+01	 2.3072e-04	 8.0982e-05	 2.4452e-04
-1.2167e+02	 2.1667e+01	 2.3067e-04	 9.5706e-05	 2.4973e-04
-1.2167e+02	 2.5000e+01	 2.3061e-04	 1.1043e-04	 2.5569e-04
-1.2167e+02	 2.8333e+01	 2.3056e-04	 1.2516e-04	 2.6234e-04
-1.2167e+02	 3.1667e+01	 2.3050e-04	 1.3989e-04	 2.6963e-04
-1.2167e+02	 3.5000e+01	 2.3045e-04	 1.5462e-04	 2.7751e-04
-1.2167e+02	 3.8333e+01	 2.3039e-04	 1.6935e-04	 2.8594e-04
-1.2167e+02	 4.1667e+01	 2.3034e-04	 1.8409e-04	 2.9486e-04
-1.2167e+02	 4.5000e+01	 2.3028e-04	 1.9882e-04	 3.0424e-04
-1.2167e+02	 4.8333e+01	 2.3023e-04	 2.1356e-04	 3.1403e-04
-1.2167e+02	 5.1667e+01	 2.3017e-04	 2.2830e-04	 3.2419e-04
-1.2167e+02	 5.5000e+01	 2.3012e-04	 2.4303e-04	 3.3470e-04
-1.2167e+02	 5.8333e+01	 2.3007e-04	 2.5777e-04	 3.4551e-04
-1.2167e+02	 6.1667e+01	 2.3002e-04	 2.7251e-04	 3.5661e-04
-1.2167e+02	 6.5000e+01	 2.2997e-04	 2.8724e-04	 3.6796e-04
-1.2167e+02	 6.8333e+01	 2.2993e-04	 3.0198e-04	 3.7955e-04
-1.2167e+02	 7.1667e+01	 2.2988e-04	 3.1672e-04	 3.9135e-04
-1.2167e+02	 7.5000e+01	 2.2983e-04	 3.3145e-04	 4.0334e-04
-1.2167e+02	 7.8333e+01	 2.2979e-04	 3.4619e-04	 4.1551e-04
-1.2167e+02	 8.1667e+01	 2.2974e-04	 3.6092e-04	 4.2784e-04
-1.2167e+02	 8.5000e+01	 2.2970e-04	 3.7565e-04	 4.4031e-04
-1.2167e+02	 8.8333e+01	 2.2965e-04	 3.9038e-04	 4.5292e-04
-1.2167e+02	 9.1667e+01	 2.2961e-04	 4.0511e-04	 4.6566e-04
-1.2167e+02	 9.5000e+01	 2.2956e-04	 4.1984e-04	 4.7850e-04
-1.2167e+02	 9.8333e+01	 2.2952e-04	 4.3457e-04	 4.9146e-04
-1.2167e+02	 1.0167e+02	 2.2947e-04	 4.4930e-04	 5.0450e-04
-1.2167e+02	 1.0500e+02	 2.2942e-04	 4.6402e-04	 5.1764e-04
-1.2167e+02	 1.0833e+02	 2.2937e-04	 4.7875e-04	 5.3086e-04
-1.2167e+02	 1.1167e+02	 2.2932e-04	 4.9347e-04	 5.4416e-04
-1.2167e+02	 1.1500e+02	 2.2927e-04	 5.0820e-04	 5.5752e-04
-1.2167e+02	 1.1833e+02	 2.2922e-04	 5.2292e-04	 5.7096e-04
-1.2167e+02	 1.2167e+02	 2.2917e-04	 5.3765e-04	 5.8445e-04
-1.2167e+02	 1.2500e+02	 2.2911e-04	 5.5237e-04	 5.9800e-04
-1.1833e+02	-1.2500e+02	 2.2362e-04	-5.5186e-04	 5.9544e-04
-1.1833e+02	-1.2167e+02	 2.2366e-04	-5.3713e-04	 5.8184e-04
