e	gp_n	xx	yy	xy	zz
249	12	-1.881701616593274e-05	4.418988937022071e-05	-5.330981203184579e-07	0.000000000000000e+00
249	13	-1.883291590058006e-05	4.419398587273835e-05	-4.828979124764697e-07	0.000000000000000e+00
249	14	-1.885124301879274e-05	4.419797404164154e-05	-4.209758949595904e-07	0.000000000000000e+00
249	15	-1.886343683343063e-05	4.420010621522146e-05	-3.761131768644435e-07	0.000000000000000e+00
250	0	-1.893056878747136e-05	4.427240575171931e-05	-4.491887276204069e-07	0.000000000000000e+00
250	1	-1.893468067152332e-05	4.426809691354382e-05	-3.978462427534160e-07	0.000000000000000e+00
250	2	-1.893869533290377e-05	4.426169384242767e-05	-3.361075510674094e-07	0.000000000000000e+00
250	3	-1.894073750351795e-05	4.425631956873017e-05	-2.926954309870900e-07	0.000000000000000e+00
250	4	-1.890910067082120e-05	4.424842186970628e-05	-4.248926161318418e-07	0.000000000000000e+00
250	5	-1.891519071534329e-05	4.424590133248635e-05	-3.763246804348937e-07	0.000000000000000e+00
250	6	-1.892165795112474e-05	4.424182041384139e-05	-3.178395608827228e-07	0.000000000000000e+00
250	7	-1.892548150049430e-05	4.423818815377489e-05	-2.766526563217622e-07	0.000000000000000e+00
250	8	-1.888476805319836e-05	4.422021067473504e-05	-3.868968984071959e-07	0.000000000000000e+00
250	9	-1.889320400132944e-05	4.421981933967140e-05	-3.423807356396417e-07	0.000000000000000e+00
250	10	-1.890257248287560e-05	4.421847556557541e-05	-2.887343925926941e-07	0.000000000000000e+00
250	11	-1.890849743398626e-05	4.421689054255859e-05	-2.509094727019423e-07	0.000000000000000e+00
250	12	-1.886929342904043e-05	4.420094975485847e-05	-3.531095763103652e-07	0.000000000000000e+00
250	13	-1.887935049881586e-05	4.420203396234216e-05	-3.120522067589291e-07	0.000000000000000e+00
250	14	-1.889069823061388e-05	4.420256379118013e-05	-2.625799394154837e-07	0.000000000000000e+00
250	15	-1.889803604304757e-05	4.420237495412708e-05	-2.276767800621897e-07	0.000000000000000e+00
251	0	-1.894147450691235e-05	4.425333028882586e-05	-2.709232693240602e-07	0.000000000000000e+00
251	1	-1.894247508435333e-05	4.424754301243181e-05	-2.327910071881224e-07	0.000000000000000e+00
251	2	-1.894308752332967e-05	4.423974708284599e-05	-1.882898282138897e-07	0.000000000000000e+00
251	3	-1.894302575058058e-05	4.423367635892244e-05	-1.580831387566984e-07	0.000000000000000e+00
251	4	-1.892713234932919e-05	4.423610496853996e-05	-2.559755141565856e-07	0.000000000000000e+00
251	5	-1.892977068637542e-05	4.423196921665559e-05	-2.197393202684299e-07	0.000000000000000e+00
251	6	-1.893236658733649e-05	4.422623403869372e-05	-1.773906562202290e-07	0.000000000000000e+00
251	7	-1.893370749409412e-05	4.422167241094768e-05	-1.485763173351132e-07	0.000000000000000e+00
251	8	-1.891122355375713e-05	4.421587454995795e-05	-2.318999667993896e-07	0.000000000000000e+00
251	9	-1.891577368481437e-05	4.421369032609982e-05	-1.985581581663536e-07	0.000000000000000e+00
251	10	-1.892065150368392e-05	4.421039454214000e-05	-1.595204538892372e-07	0.000000000000000e+00
251	11	-1.892357855715861e-05	4.420761489853344e-05	-1.328830809643808e-07	0.000000000000000e+00
251	12	-1.890147756748316e-05	4.420208876119166e-05	-2.101205505514391e-07	0.000000000000000e+00
251	13	-1.890728885427513e-05	4.420124450052941e-05	-1.793073291029923e-07	0.000000000000000e+00
251	14	-1.891365039773003e-05	4.419962730000146e-05	-1.431846800413193e-07	0.000000000000000e+00
251	15	-1.891759068958259e-05	4.419807015493186e-05	-1.184922186864097e-07	0.000000000000000e+00
252	0	-1.894281440099644e-05	4.423043532714226e-05	-1.433290946491506e-07	0.000000000000000e+00
252	1	-1.894225854096479e-05	4.422437565901368e-05	-1.180652900694032e-07	0.000000000000000e+00
252	2	-1.894125711104751e-05	4.421655584268132e-05	-8.969881512905373e-08	0.000000000000000e+00
252	3	-1.894027788408889e-05	4.421066645027349e-05	-7.134689685795089e-08	0.000000000000000e+00
252	4	-1.893420206535270e-05	4.421921112421295e-05	-1.344714702295385e-07	0.000000000000000e+00
252	5	-1.893489435128421e-05	4.421456524781339e-05	-1.102839631272133e-07	0.000000000000000e+00
252	6	-1.893537162055390e-05	4.420847601883726e-05	-8.306347516718997e-08	0.000000000000000e+00
252	7	-1.893541093833634e-05	4.420381022948362e-05	-6.540420293000015e-08	0.000000000000000e+00
252	8	-1.892486151203411e-05	4.420607038242318e-05	-1.198120700627425e-07	0.000000000000000e+00
252	9	-1.892694120122539e-05	4.420307913012670e-05	-9.737831573132869e-08	0.000000000000000e+00
252	10	-1.892905121993687e-05	4.419900869714639e-05	-7.210252369948794e-08	0.000000000000000e+00
252	11	-1.893020596804094e-05	4.419577289475693e-05	-5.568112431846150e-08	0.000000000000000e+00
252	12	-1.891937047616399e-05	4.419715120695409e-05	-1.063586378705442e-07	0.000000000000000e+00
252	13	-1.892231591810906e-05	4.419528252807050e-05	-8.553605019633411e-08	0.000000000000000e+00
252	14	-1.892542791967868e-05	4.419257611017737e-05	-6.208405099184190e-08	0.000000000000000e+00
252	15	-1.892725284961934e-05	4.419030872471126e-05	-4.685116755023203e-08	0.000000000000000e+00
253	0	-1.893968483456472e-05	4.420757605405810e-05	-6.271479929024034e-08	0.000000000000000e+00
253	1	-1.893850644794040e-05	4.420185328605768e-05	-4.836728377519465e-08	0.000000000000000e+00
253	2	-1.893685449006820e-05	4.419443407112333e-05	-3.307835367215652e-08	0.000000000000000e+00
253	3	-1.893550059860277e-05	4.418869150334871e-05	-2.385457061636271e-08	0.000000000000000e+00
253	4	-1.893531995484263e-05	4.420133080088697e-05	-5.708261656554896e-08	0.000000000000000e+00
253	5	-1.893500668388816e-05	4.419667255648558e-05	-4.327666070743483e-08	0.000000000000000e+00
253	6	-1.893433227001434e-05	4.419047739025749e-05	-2.864297291448986e-08	0.000000000000000e+00
253	7	-1.893361173526170e-05	4.418554308555091e-05	-1.989681667839843e-08	0.000000000000000e+00
253	8	-1.893066137680122e-05	4.419401092355713e-05	-4.793701252708277e-08	0.000000000000000e+00
253	9	-1.893128633881300e-05	4.419061323508844e-05	-3.514138502580865e-08	0.000000000000000e+00
253	10	-1.893166588332498e-05	4.418589649627662e-05	-2.171990994012240e-08	0.000000000000000e+00
253	11	-1.893162272322720e-05	4.418196976459845e-05	-1.384199483572338e-08	0.000000000000000e+00
253	12	-1.892803119257567e-05	4.418903557280431e-05	-3.967036685528736e-08	0.000000000000000e+00
253	13	-1.892920595511200e-05	4.418650566072092e-05	-2.785707329242932e-08	0.000000000000000e+00
253	14	-1.893019427330272e-05	4.418283114731036e-05	-1.559966099470719e-08	0.000000000000000e+00
253	15	-1.893053449885538e-05	4.417964065629953e-05	-8.540261424427105e-09	0.000000000000000e+00
254	0	-1.893473429248176e-05	4.418558254916875e-05	-1.975408089791134e-08	0.000000000000000e+00
254	1	-1.893296778182975e-05	4.417954185764792e-05	-1.300767862301796e-08	0.000000000000000e+00
254	2	-1.892996805951618e-05	4.417085389004309e-05	-5.754335049848800e-09	0.000000000000000e+00
254	3	-1.892713631060140e-05	4.416321671730491e-05	-1.195934252277969e-09	0.000000000000000e+00
254	4	-1.893314099087473e-05	4.418281764102599e-05	-1.605481398709411e-08	0.000000000000000e+00
254	5	-1.893183456776586e-05	4.417739653684348e-05	-9.962598773396104e-09	0.000000000000000e+00
254	6	-1.892924642927964e-05	4.416927461054023e-05	-3.985000075797477e-09	0.000000000000000e+00
254	7	-1.892658550764416e-05	4.416184411977158e-05	-7.825022991762932e-10	0.000000000000000e+00
254	8	-1.893146734042382e-05	4.417973729725085e-05	-1.045892258238641e-08	0.000000000000000e+00
254	9	-1.893067804266940e-05	4.417515717741663e-05	-5.450429269118521e-09	0.000000000000000e+00
254	10	-1.892862043002919e-05	4.416795859645678e-05	-1.452472204517373e-09	0.000000000000000e+00
254	11	-1.892625562349709e-05	4.416109443798869e-05	-2.789132129150265e-10	0.000000000000000e+00
254	12	-1.893055589730330e-05	4.417778036158483e-05	-5.580965127838798e-09	0.000000000000000e+00
254	13	-1.893008172126431e-05	4.417386979518012e-05	-1.518000932182990e-09	0.000000000000000e+00
254	14	-1.892840990744522e-05	4.416752056444982e-05	8.473360357348287e-10	0.000000000000000e+00
254	15	-1.892632136831114e-05	4.416131785200751e-05	3.986108480669720e-10	0.000000000000000e+00
255	0	-1.712207969220931e-05	4.325916137887191e-05	-3.257379034869246e-08	0.000000000000000e+00
255	1	-1.712521417987132e-05	4.326135223346927e-05	-1.545006563023440e-07	0.000000000000000e+00
255	2	-1.713733320423198e-05	4.326909636995940e-05	-3.105200814365474e-07	0.000000000000000e+00
255	3	-1.715277590935136e-05	4.327875812893243e-05	-4.277754300750473e-07	0.000000000000000e+00
255	4	-1.703146967462960e-05	4.325250159800593e-05	-2.899468375190304e-08	0.000000000000000e+00
255	5	-1.703491927037065e-05	4.325490106039111e-05	-1.372911653764930e-07	0.000000000000000e+00
255	6	-1.704738183767090e-05	4.326258386980280e-05	-2.762337493386687e-07	0.000000000000000e+00
255	7	-1.706303604999210e-05	4.327181111935741e-05	-3.808173958395167e-07	0.000000000000000e+00
255	8	-1.689679404870959e-05	4.323137847827756e-05	-2.388897014259154e-08	0.000000000000000e+00
255	9	-1.690104871859559e-05	4.323382996579184e-05	-1.137325612945059e-07	0.000000000000000e+00
255	10	-1.691444780093072e-05	4.324126376055575e-05	-2.291257615260018e-07	0.000000000000000e+00
255	11	-1.693073251839352e-05	4.325001682766861e-05	-3.161769093973469e-07	0.000000000000000e+00
255	12	-1.678042305069720e-05	4.320565873289988e-05	-1.982699104729652e-08	0.000000000000000e+00
255	13	-1.678518448573782e-05	4.320798136169041e-05	-9.500089804895897e-08	0.000000000000000e+00
255	14	-1.679941431185765e-05	4.321509477020544e-05	-1.912226593064905e-07	0.000000000000000e+00
255	15	-1.681646570722369e-05	4.322355547480555e-05	-2.638545140396678e-07	0.000000000000000e+00
256	0	-1.716315149594713e-05	4.328522144136671e-05	-4.893397469483632e-07	0.000000000000000e+00
256	1	-1.718601981698960e-05	4.329973616473106e-05	-6.012913353616984e-07	0.000000000000000e+00
256	2	-1.722239360559713e-05	4.332302498546158e-05	-7.399920919330474e-07	0.000000000000000e+00
256	3	-1.725528248604562e-05	4.334391279103297e-05	-8.406798644083625e-07	0.000000000000000e+00
256	4	-1.707351062163225e-05	4.327786611648169e-05	-4.357425185296753e-07	0.000000000000000e+00
256	5	-1.709662154753056e-05	4.329129049884381e-05	-5.355157803100897e-07	0.000000000000000e+00
256	6	-1.713344045533409e-05	4.331269917864827e-05	-6.590631276614395e-07	0.000000000000000e+00
256	7	-1.716676905195099e-05	4.333195680621821e-05	-7.488585733418550e-07	0.000000000000000e+00
256	8	-1.694152424584906e-05	4.325570669852201e-05	-3.619729285826191e-07	0.000000000000000e+00
256	9	-1.696541066125438e-05	4.326824526179831e-05	-4.450151399164509e-07	0.000000000000000e+00
256	10	-1.700363965579898e-05	4.328819411813265e-05	-5.476546420472349e-07	0.000000000000000e+00
256	11	-1.703835427793252e-05	4.330618072875734e-05	-6.222664717943640e-07	0.000000000000000e+00
256	12	-1.682771776011723e-05	4.322909396070653e-05	-3.021513322961449e-07	0.000000000000000e+00
256	13	-1.685266668366947e-05	4.324136499726829e-05	-3.715084952507515e-07	0.000000000000000e+00
