要素番号	頂点番号	xx	yy	xy	zz
131	2	-1.954402919562331e-05	4.495557377548523e-05	4.675464114057843e-07	0.000000000000000e+00
131	3	-1.933767399774261e-05	4.469027271730915e-05	5.755828283894319e-07	0.000000000000000e+00
132	0	-1.931997522151565e-05	4.468861927631654e-05	8.646991636332513e-07	0.000000000000000e+00
132	1	-1.913424629706596e-05	4.441663416488519e-05	8.026723300779649e-07	0.000000000000000e+00
132	2	-1.933767399774265e-05	4.469027271730915e-05	5.755828283894497e-07	0.000000000000000e+00
132	3	-1.915974919551269e-05	4.444924356105476e-05	5.804401956051430e-07	0.000000000000000e+00
133	0	-1.913424629706596e-05	4.441663416488519e-05	8.026723300779649e-07	0.000000000000000e+00
133	1	-1.898018169650742e-05	4.417713871810456e-05	6.486957263706902e-07	0.000000000000000e+00
133	2	-1.915974919551269e-05	4.444924356105476e-05	5.804401956051430e-07	0.000000000000000e+00
133	3	-1.901362399844044e-05	4.424080335680802e-05	4.874814386214729e-07	0.000000000000000e+00
134	0	-1.898018169650742e-05	4.417713871810456e-05	6.486957263706902e-07	0.000000000000000e+00
134	1	-1.886100120439991e-05	4.397826069162792e-05	3.894307206198313e-07	0.000000000000000e+00
134	2	-1.901362399844044e-05	4.424080335680802e-05	4.874814386214729e-07	0.000000000000000e+00
134	3	-1.890529486786502e-05	4.407769334445539e-05	2.961504150569410e-07	0.000000000000000e+00
135	0	-1.886100120439991e-05	4.397826069162792e-05	3.894307206198313e-07	0.000000000000000e+00
135	1	-1.878745155855957e-05	4.383798230217340e-05	1.817413456997236e-10	0.000000000000000e+00
135	2	-1.890529486786502e-05	4.407769334445539e-05	2.961504150569410e-07	0.000000000000000e+00
135	3	-1.884883560193142e-05	4.398140187062341e-05	1.419245462526506e-10	0.000000000000000e+00
136	0	-1.674262557212487e-05	3.995530967525082e-05	9.739750921012799e-08	0.000000000000000e+00
136	1	-1.691988403107814e-05	4.042639443222474e-05	-3.121786978414160e-06	0.000000000000000e+00
136	2	-1.707523970274249e-05	4.131844893116407e-05	-4.156566833150681e-08	0.000000000000000e+00
136	3	-1.736918905875026e-05	4.155834329066594e-05	-2.330171630502687e-06	0.000000000000000e+00
137	0	-1.691988403107814e-05	4.042639443222472e-05	-3.121786978414199e-06	0.000000000000000e+00
137	1	-1.792836314093718e-05	4.176114339991390e-05	-5.192704540731965e-06	0.000000000000000e+00
137	2	-1.736918905875026e-05	4.155834329066597e-05	-2.330171630502634e-06	0.000000000000000e+00
137	3	-1.790181615212075e-05	4.224304400277387e-05	-4.157838717906030e-06	0.000000000000000e+00
