コントロールポイント番号	rf_x	rf_y
170	-6.823006903691277e-15	1.464936245200755e-14
171	-1.141798307735447e-14	6.128801165464979e-15
172	1.608926487701109e-14	4.214340200699584e-15
173	4.821423158883757e-15	-2.006947448648809e-15
174	-2.066691592237132e-14	7.493147679775146e-15
175	4.910452841451922e-15	7.181410214798430e-15
176	-6.280648622126541e-15	1.617378866622903e-15
177	-1.186567957531727e-14	9.636805925436140e-16
178	1.440134754963697e-14	-2.968944118626025e-15
179	2.575777369857672e-15	-5.994309711500770e-15
180	-9.209954509282038e-02	-1.096374586984593e-14
181	3.159723242338943e-15	1.010915972259222e-14
182	1.000464307508586e-14	1.309587239122064e-14
183	1.164370420354836e-14	4.705115640956543e-15
184	5.287140861266831e-15	1.894398405565567e-15
185	-5.005064471245892e-15	1.481330904360916e-14
186	-6.349444201586240e-15	-8.689687278309394e-15
187	-5.023013155181203e-15	-1.117235845268240e-14
188	1.312092808457546e-15	5.910674619051731e-15
189	1.301732436929856e-14	-1.170154403490669e-14
190	-2.748944967703323e-15	-2.016829379097606e-14
191	-1.948787366460691e-14	1.040461506574692e-14
192	1.558251842205667e-14	2.564197728678706e-15
193	6.682941760881861e-15	5.924803045415658e-16
194	-1.971705669607891e-14	-1.065830212512121e-14
195	9.671761276285749e-15	-5.662173881092255e-17
196	5.968934188878823e-15	8.406470068656701e-15
197	-1.893837625107411e-14	1.556186492877378e-15
198	-4.858770459441778e-15	1.289528481778102e-14
199	1.386932234216392e-14	-1.122472510292293e-14
200	-9.221326225602031e-02	-1.030648204202622e-15
201	-3.892447657685925e-15	1.709029643829685e-14
202	3.433691897095262e-15	2.536189507167093e-14
203	5.759248499398786e-15	-2.297360829496830e-16
204	2.705071656851084e-15	-2.588969552561309e-14
205	-9.977376365383601e-15	-1.873884281251550e-14
206	-1.015947653898662e-14	-1.610311133571510e-14
207	2.900705896696662e-15	-1.353520399216147e-14
208	8.948566010297899e-15	3.403233775076875e-15
209	5.285714854882048e-15	1.817232209329484e-15
210	2.368755511096288e-15	-1.367508023082320e-14
211	-2.115628403850537e-15	1.467165326901346e-14
212	8.107238636250583e-15	1.009431436428665e-14
213	-4.145384965737415e-15	1.160548635332220e-14
