要素番号	頂点番号	x	y
47	2	7.647058823529412e+00	1.764705882352942e+00
47	3	8.235294117647058e+00	1.764705882352941e+00
48	0	8.235294117647060e+00	1.176470588235294e+00
48	1	8.823529411764707e+00	1.176470588235294e+00
48	2	8.235294117647058e+00	1.764705882352941e+00
48	3	8.823529411764705e+00	1.764705882352941e+00
49	0	8.823529411764707e+00	1.176470588235294e+00
49	1	9.411764705882355e+00	1.176470588235294e+00
49	2	8.823529411764705e+00	1.764705882352941e+00
49	3	9.411764705882353e+00	1.764705882352942e+00
50	0	9.411764705882355e+00	1.176470588235294e+00
50	1	1.000000000000000e+01	1.176470588235294e+00
50	2	9.411764705882353e+00	1.764705882352942e+00
50	3	1.000000000000000e+01	1.764705882352942e+00
51	0	0.000000000000000e+00	1.764705882352941e+00
51	1	5.882352941176470e-01	1.764705882352941e+00
51	2	0.000000000000000e+00	2.352941176470589e+00
51	3	5.882352941176472e-01	2.352941176470589e+00
52	0	5.882352941176469e-01	1.764705882352942e+00
52	1	1.176470588235294e+00	1.764705882352942e+00
52	2	5.882352941176471e-01	2.352941176470588e+00
52	3	1.176470588235294e+00	2.352941176470589e+00
53	0	1.176470588235294e+00	1.764705882352942e+00
53	1	1.764705882352942e+00	1.764705882352942e+00
53	2	1.176470588235294e+00	2.352941176470589e+00
53	3	1.764705882352941e+00	2.352941176470588e+00
54	0	1.764705882352941e+00	1.764705882352942e+00
54	1	2.352941176470589e+00	1.764705882352942e+00
54	2	1.764705882352941e+00	2.352941176470589e+00
54	3	2.352941176470588e+00	2.352941176470588e+00
55	0	2.352941176470589e+00	1.764705882352942e+00
55	1	2.941176470588236e+00	1.764705882352941e+00
55	2	2.352941176470588e+00	2.352941176470588e+00
55	3	2.941176470588236e+00	2.352941176470589e+00
56	0	2.941176470588236e+00	1.764705882352941e+00
56	1	3.529411764705883e+00	1.764705882352942e+00
56	2	2.941176470588236e+00	2.352941176470589e+00
56	3	3.529411764705882e+00	2.352941176470589e+00
57	0	3.529411764705882e+00	1.764705882352941e+00
57	1	4.117647058823531e+00	1.764705882352942e+00
57	2	3.529411764705883e+00	2.352941176470589e+00
57	3	4.117647058823531e+00	2.352941176470589e+00
58	0	4.117647058823531e+00	1.764705882352942e+00
58	1	4.705882352941178e+00	1.764705882352942e+00
58	2	4.117647058823531e+00	2.352941176470589e+00
58	3	4.705882352941178e+00	2.352941176470589e+00
59	0	4.705882352941178e+00	1.764705882352942e+00
59	1	5.294117647058825e+00	1.764705882352942e+00
59	2	4.705882352941178e+00	2.352941176470589e+00
59	3	5.294117647058825e+00	2.352941176470588e+00
60	0	5.294117647058825e+00	1.764705882352942e+00
60	1	5.882352941176472e+00	1.764705882352942e+00
60	2	5.294117647058825e+00	2.352941176470588e+00
60	3	5.882352941176472e+00	2.352941176470589e+00
61	0	5.882352941176472e+00	1.764705882352942e+00
61	1	6.470588235294119e+00	1.764705882352942e+00
61	2	5.882352941176472e+00	2.352941176470589e+00
61	3	6.470588235294120e+00	2.352941176470589e+00
62	0	6.470588235294119e+00	1.764705882352942e+00
62	1	7.058823529411768e+00	1.764705882352942e+00
62	2	6.470588235294120e+00	2.352941176470589e+00
62	3	7.058823529411767e+00	2.352941176470589e+00
63	0	7.058823529411767e+00	1.764705882352941e+00
63	1	7.647058823529411e+00	1.764705882352941e+00
63	2	7.058823529411767e+00	2.352941176470589e+00
63	3	7.647058823529411e+00	2.352941176470589e+00
64	0	7.647058823529411e+00	1.764705882352941e+00
64	1	8.235294117647062e+00	1.764705882352942e+00
64	2	7.647058823529411e+00	2.352941176470589e+00
64	3	8.235294117647062e+00	2.352941176470589e+00
65	0	8.235294117647062e+00	1.764705882352942e+00
65	1	8.823529411764707e+00	1.764705882352942e+00
65	2	8.235294117647062e+00	2.352941176470589e+00
65	3	8.823529411764708e+00	2.352941176470588e+00
66	0	8.823529411764707e+00	1.764705882352942e+00
66	1	9.411764705882353e+00	1.764705882352941e+00
66	2	8.823529411764708e+00	2.352941176470588e+00
66	3	9.411764705882355e+00	2.352941176470589e+00
67	0	9.411764705882353e+00	1.764705882352941e+00
67	1	1.000000000000000e+01	1.764705882352941e+00
67	2	9.411764705882355e+00	2.352941176470589e+00
67	3	1.000000000000000e+01	2.352941176470589e+00
68	0	0.000000000000000e+00	2.352941176470589e+00
68	1	5.882352941176472e-01	2.352941176470589e+00
68	2	0.000000000000000e+00	2.941176470588236e+00
68	3	5.882352941176471e-01	2.941176470588236e+00
69	0	5.882352941176471e-01	2.352941176470588e+00
69	1	1.176470588235294e+00	2.352941176470589e+00
69	2	5.882352941176470e-01	2.941176470588235e+00
69	3	1.176470588235294e+00	2.941176470588236e+00
70	0	1.176470588235294e+00	2.352941176470589e+00
70	1	1.764705882352941e+00	2.352941176470588e+00
70	2	1.176470588235294e+00	2.941176470588236e+00
70	3	1.764705882352941e+00	2.941176470588235e+00
71	0	1.764705882352941e+00	2.352941176470589e+00
71	1	2.352941176470588e+00	2.352941176470588e+00
71	2	1.764705882352942e+00	2.941176470588236e+00
71	3	2.352941176470589e+00	2.941176470588236e+00
72	0	2.352941176470588e+00	2.352941176470588e+00
72	1	2.941176470588236e+00	2.352941176470589e+00
72	2	2.352941176470589e+00	2.941176470588236e+00
72	3	2.941176470588236e+00	2.941176470588236e+00
73	0	2.941176470588236e+00	2.352941176470589e+00
73	1	3.529411764705882e+00	2.352941176470589e+00
73	2	2.941176470588236e+00	2.941176470588236e+00
73	3	3.529411764705882e+00	2.941176470588236e+00
74	0	3.529411764705883e+00	2.352941176470589e+00
74	1	4.117647058823531e+00	2.352941176470589e+00
74	2	3.529411764705884e+00	2.941176470588236e+00
74	3	4.117647058823529e+00	2.941176470588236e+00
75	0	4.117647058823531e+00	2.352941176470589e+00
75	1	4.705882352941178e+00	2.352941176470589e+00
75	2	4.117647058823529e+00	2.941176470588236e+00
75	3	4.705882352941178e+00	2.941176470588236e+00
76	0	4.705882352941178e+00	2.352941176470589e+00
76	1	5.294117647058825e+00	2.352941176470588e+00
76	2	4.705882352941178e+00	2.941176470588236e+00
76	3	5.294117647058825e+00	2.941176470588236e+00
77	0	5.294117647058825e+00	2.352941176470588e+00
77	1	5.882352941176472e+00	2.352941176470589e+00
77	2	5.294117647058825e+00	2.941176470588236e+00
77	3	5.882352941176471e+00	2.941176470588236e+00
78	0	5.882352941176472e+00	2.352941176470589e+00
78	1	6.470588235294120e+00	2.352941176470589e+00
78	2	5.882352941176471e+00	2.941176470588236e+00
78	3	6.470588235294119e+00	2.941176470588236e+00
79	0	6.470588235294120e+00	2.352941176470589e+00
79	1	7.058823529411767e+00	2.352941176470589e+00
79	2	6.470588235294119e+00	2.941176470588236e+00
79	3	7.058823529411764e+00	2.941176470588236e+00
80	0	7.058823529411767e+00	2.352941176470589e+00
80	1	7.647058823529411e+00	2.352941176470589e+00
80	2	7.058823529411765e+00	2.941176470588236e+00
80	3	7.647058823529410e+00	2.941176470588236e+00
81	0	7.647058823529411e+00	2.352941176470589e+00
81	1	8.235294117647062e+00	2.352941176470589e+00
81	2	7.647058823529410e+00	2.941176470588236e+00
81	3	8.235294117647060e+00	2.941176470588236e+00
82	0	8.235294117647062e+00	2.352941176470589e+00
82	1	8.823529411764708e+00	2.352941176470588e+00
82	2	8.235294117647060e+00	2.941176470588236e+00
82	3	8.823529411764705e+00	2.941176470588236e+00
83	0	8.823529411764708e+00	2.352941176470588e+00
83	1	9.411764705882355e+00	2.352941176470589e+00
83	2	8.823529411764705e+00	2.941176470588236e+00
83	3	9.411764705882355e+00	2.941176470588236e+00
84	0	9.411764705882355e+00	2.352941176470589e+00
84	1	1.000000000000000e+01	2.352941176470589e+00
84	2	9.411764705882355e+00	2.941176470588236e+00
84	3	1.000000000000000e+01	2.941176470588236e+00
85	0	0.000000000000000e+00	2.941176470588236e+00
85	1	5.882352941176471e-01	2.941176470588236e+00
85	2	0.000000000000000e+00	3.529411764705883e+00
85	3	5.882352941176470e-01	3.529411764705883e+00
86	0	5.882352941176470e-01	2.941176470588235e+00
86	1	1.176470588235294e+00	2.941176470588236e+00
86	2	5.882352941176471e-01	3.529411764705884e+00
86	3	1.176470588235294e+00	3.529411764705882e+00
87	0	1.176470588235294e+00	2.941176470588236e+00
87	1	1.764705882352941e+00	2.941176470588235e+00
87	2	1.176470588235294e+00	3.529411764705882e+00
87	3	1.764705882352942e+00	3.529411764705883e+00
88	0	1.764705882352942e+00	2.941176470588236e+00
88	1	2.352941176470589e+00	2.941176470588236e+00
88	2	1.764705882352942e+00	3.529411764705884e+00
88	3	2.352941176470589e+00	3.529411764705884e+00
89	0	2.352941176470589e+00	2.941176470588236e+00
89	1	2.941176470588236e+00	2.941176470588236e+00
89	2	2.352941176470589e+00	3.529411764705884e+00
89	3	2.941176470588236e+00	3.529411764705884e+00
90	0	2.941176470588236e+00	2.941176470588236e+00
90	1	3.529411764705882e+00	2.941176470588236e+00
90	2	2.941176470588236e+00	3.529411764705884e+00
90	3	3.529411764705883e+00	3.529411764705882e+00
91	0	3.529411764705884e+00	2.941176470588236e+00
91	1	4.117647058823529e+00	2.941176470588236e+00
91	2	3.529411764705883e+00	3.529411764705883e+00
91	3	4.117647058823530e+00	3.529411764705884e+00
92	0	4.117647058823529e+00	2.941176470588236e+00
92	1	4.705882352941178e+00	2.941176470588236e+00
92	2	4.117647058823530e+00	3.529411764705884e+00
92	3	4.705882352941176e+00	3.529411764705883e+00
93	0	4.705882352941178e+00	2.941176470588236e+00
93	1	5.294117647058825e+00	2.941176470588236e+00
93	2	4.705882352941176e+00	3.529411764705883e+00
93	3	5.294117647058823e+00	3.529411764705882e+00
94	0	5.294117647058825e+00	2.941176470588236e+00
94	1	5.882352941176471e+00	2.941176470588236e+00
94	2	5.294117647058823e+00	3.529411764705882e+00
94	3	5.882352941176469e+00	3.529411764705882e+00
95	0	5.882352941176471e+00	2.941176470588236e+00
95	1	6.470588235294119e+00	2.941176470588236e+00
95	2	5.882352941176469e+00	3.529411764705882e+00
95	3	6.470588235294119e+00	3.529411764705883e+00
96	0	6.470588235294119e+00	2.941176470588236e+00
96	1	7.058823529411764e+00	2.941176470588236e+00
96	2	6.470588235294119e+00	3.529411764705883e+00
96	3	7.058823529411764e+00	3.529411764705882e+00
97	0	7.058823529411765e+00	2.941176470588236e+00
97	1	7.647058823529410e+00	2.941176470588236e+00
97	2	7.058823529411766e+00	3.529411764705883e+00
97	3	7.647058823529411e+00	3.529411764705883e+00
98	0	7.647058823529410e+00	2.941176470588236e+00
98	1	8.235294117647060e+00	2.941176470588236e+00
98	2	7.647058823529411e+00	3.529411764705883e+00
98	3	8.235294117647058e+00	3.529411764705883e+00
99	0	8.235294117647060e+00	2.941176470588236e+00
99	1	8.823529411764705e+00	2.941176470588236e+00
99	2	8.235294117647058e+00	3.529411764705883e+00
99	3	8.823529411764705e+00	3.529411764705882e+00
100	0	8.823529411764705e+00	2.941176470588236e+00
100	1	9.411764705882355e+00	2.941176470588236e+00
100	2	8.823529411764705e+00	3.529411764705882e+00
100	3	9.411764705882351e+00	3.529411764705882e+00
101	0	9.411764705882355e+00	2.941176470588236e+00
101	1	1.000000000000000e+01	2.941176470588236e+00
101	2	9.411764705882351e+00	3.529411764705882e+00
101	3	9.999999999999998e+00	3.529411764705883e+00
102	0	0.000000000000000e+00	3.529411764705882e+00
102	1	5.882352941176471e-01	3.529411764705883e+00
102	2	0.000000000000000e+00	4.117647058823530e+00
102	3	5.882352941176470e-01	4.117647058823530e+00
103	0	5.882352941176471e-01	3.529411764705883e+00
103	1	1.176470588235294e+00	3.529411764705883e+00
103	2	5.882352941176471e-01	4.117647058823531e+00
103	3	1.176470588235294e+00	4.117647058823532e+00
104	0	1.176470588235294e+00	3.529411764705883e+00
104	1	1.764705882352942e+00	3.529411764705883e+00
104	2	1.176470588235294e+00	4.117647058823532e+00
104	3	1.764705882352942e+00	4.117647058823530e+00
105	0	1.764705882352942e+00	3.529411764705883e+00
105	1	2.352941176470589e+00	3.529411764705883e+00
105	2	1.764705882352942e+00	4.117647058823531e+00
105	3	2.352941176470589e+00	4.117647058823531e+00
106	0	2.352941176470589e+00	3.529411764705883e+00
106	1	2.941176470588236e+00	3.529411764705883e+00
106	2	2.352941176470589e+00	4.117647058823531e+00
106	3	2.941176470588237e+00	4.117647058823531e+00
107	0	2.941176470588236e+00	3.529411764705883e+00
107	1	3.529411764705884e+00	3.529411764705882e+00
107	2	2.941176470588237e+00	4.117647058823531e+00
107	3	3.529411764705883e+00	4.117647058823529e+00
108	0	3.529411764705882e+00	3.529411764705881e+00
108	1	4.117647058823530e+00	3.529411764705883e+00
108	2	3.529411764705883e+00	4.117647058823530e+00
108	3	4.117647058823530e+00	4.117647058823529e+00
109	0	4.117647058823530e+00	3.529411764705883e+00
109	1	4.705882352941177e+00	3.529411764705883e+00
109	2	4.117647058823530e+00	4.117647058823529e+00
109	3	4.705882352941177e+00	4.117647058823530e+00
110	0	4.705882352941177e+00	3.529411764705883e+00
110	1	5.294117647058825e+00	3.529411764705882e+00
110	2	4.705882352941177e+00	4.117647058823530e+00
110	3	5.294117647058825e+00	4.117647058823529e+00
111	0	5.294117647058825e+00	3.529411764705882e+00
111	1	5.882352941176472e+00	3.529411764705883e+00
111	2	5.294117647058825e+00	4.117647058823529e+00
111	3	5.882352941176472e+00	4.117647058823529e+00
112	0	5.882352941176472e+00	3.529411764705883e+00
112	1	6.470588235294119e+00	3.529411764705882e+00
112	2	5.882352941176472e+00	4.117647058823529e+00
112	3	6.470588235294119e+00	4.117647058823529e+00
113	0	6.470588235294119e+00	3.529411764705882e+00
113	1	7.058823529411764e+00	3.529411764705882e+00
113	2	6.470588235294119e+00	4.117647058823529e+00
113	3	7.058823529411764e+00	4.117647058823529e+00
114	0	7.058823529411766e+00	3.529411764705882e+00
114	1	7.647058823529410e+00	3.529411764705882e+00
114	2	7.058823529411767e+00	4.117647058823531e+00
114	3	7.647058823529412e+00	4.117647058823530e+00
115	0	7.647058823529410e+00	3.529411764705882e+00
115	1	8.235294117647058e+00	3.529411764705882e+00
115	2	7.647058823529412e+00	4.117647058823530e+00
115	3	8.235294117647060e+00	4.117647058823530e+00
116	0	8.235294117647058e+00	3.529411764705882e+00
116	1	8.823529411764707e+00	3.529411764705882e+00
116	2	8.235294117647060e+00	4.117647058823530e+00
116	3	8.823529411764707e+00	4.117647058823529e+00
117	0	8.823529411764707e+00	3.529411764705882e+00
117	1	9.411764705882353e+00	3.529411764705882e+00
117	2	8.823529411764707e+00	4.117647058823529e+00
117	3	9.411764705882351e+00	4.117647058823528e+00
118	0	9.411764705882353e+00	3.529411764705882e+00
118	1	9.999999999999998e+00	3.529411764705882e+00
118	2	9.411764705882351e+00	4.117647058823528e+00
118	3	1.000000000000000e+01	4.117647058823530e+00
119	0	0.000000000000000e+00	4.117647058823530e+00
119	1	5.882352941176470e-01	4.117647058823530e+00
119	2	0.000000000000000e+00	4.705882352941177e+00
119	3	5.882352941176471e-01	4.705882352941178e+00
120	0	5.882352941176471e-01	4.117647058823531e+00
120	1	1.176470588235294e+00	4.117647058823532e+00
120	2	5.882352941176470e-01	4.705882352941177e+00
120	3	1.176470588235294e+00	4.705882352941178e+00
121	0	1.176470588235294e+00	4.117647058823532e+00
121	1	1.764705882352942e+00	4.117647058823530e+00
121	2	1.176470588235294e+00	4.705882352941178e+00
121	3	1.764705882352942e+00	4.705882352941178e+00
122	0	1.764705882352942e+00	4.117647058823531e+00
122	1	2.352941176470589e+00	4.117647058823531e+00
122	2	1.764705882352942e+00	4.705882352941178e+00
122	3	2.352941176470589e+00	4.705882352941178e+00
123	0	2.352941176470589e+00	4.117647058823531e+00
123	1	2.941176470588237e+00	4.117647058823531e+00
123	2	2.352941176470589e+00	4.705882352941178e+00
123	3	2.941176470588236e+00	4.705882352941178e+00
124	0	2.941176470588237e+00	4.117647058823531e+00
124	1	3.529411764705883e+00	4.117647058823529e+00
124	2	2.941176470588236e+00	4.705882352941178e+00
124	3	3.529411764705883e+00	4.705882352941177e+00
125	0	3.529411764705883e+00	4.117647058823530e+00
125	1	4.117647058823530e+00	4.117647058823529e+00
125	2	3.529411764705883e+00	4.705882352941177e+00
125	3	4.117647058823530e+00	4.705882352941177e+00
126	0	4.117647058823530e+00	4.117647058823529e+00
126	1	4.705882352941177e+00	4.117647058823530e+00
126	2	4.117647058823530e+00	4.705882352941177e+00
126	3	4.705882352941177e+00	4.705882352941178e+00
127	0	4.705882352941177e+00	4.117647058823530e+00
127	1	5.294117647058825e+00	4.117647058823529e+00
127	2	4.705882352941177e+00	4.705882352941178e+00
127	3	5.294117647058825e+00	4.705882352941178e+00
128	0	5.294117647058825e+00	4.117647058823529e+00
128	1	5.882352941176472e+00	4.117647058823529e+00
128	2	5.294117647058825e+00	4.705882352941178e+00
128	3	5.882352941176471e+00	4.705882352941178e+00
129	0	5.882352941176472e+00	4.117647058823529e+00
129	1	6.470588235294119e+00	4.117647058823529e+00
129	2	5.882352941176471e+00	4.705882352941178e+00
129	3	6.470588235294119e+00	4.705882352941178e+00
130	0	6.470588235294119e+00	4.117647058823529e+00
130	1	7.058823529411764e+00	4.117647058823529e+00
130	2	6.470588235294119e+00	4.705882352941178e+00
130	3	7.058823529411766e+00	4.705882352941178e+00
131	0	7.058823529411767e+00	4.117647058823531e+00
131	1	7.647058823529412e+00	4.117647058823530e+00
131	2	7.058823529411766e+00	4.705882352941176e+00
131	3	7.647058823529410e+00	4.705882352941177e+00
132	0	7.647058823529412e+00	4.117647058823530e+00
132	1	8.235294117647060e+00	4.117647058823530e+00
132	2	7.647058823529410e+00	4.705882352941177e+00
132	3	8.235294117647060e+00	4.705882352941178e+00
133	0	8.235294117647060e+00	4.117647058823530e+00
133	1	8.823529411764707e+00	4.117647058823529e+00
133	2	8.235294117647060e+00	4.705882352941178e+00
133	3	8.823529411764705e+00	4.705882352941178e+00
134	0	8.823529411764707e+00	4.117647058823529e+00
