要素番号	ガウス点番号	xx	yy	xy	zz
449	7	-2.640658082279549e-05	4.752154012176941e-05	-3.450550695602257e-05	0.000000000000000e+00
449	8	-2.506018699255034e-05	4.414436162880058e-05	-3.776566385169089e-05	0.000000000000000e+00
449	9	-2.534744041951807e-05	4.451507361007324e-05	-3.744348077200211e-05	0.000000000000000e+00
449	10	-2.567932362537083e-05	4.495795011946415e-05	-3.700442029489654e-05	0.000000000000000e+00
449	11	-2.590400753061939e-05	4.526209597994747e-05	-3.666161075618629e-05	0.000000000000000e+00
449	12	-2.462240777460790e-05	4.236487250857627e-05	-3.904856923176009e-05	0.000000000000000e+00
449	13	-2.490179745042404e-05	4.273949681892756e-05	-3.878824193568109e-05	0.000000000000000e+00
449	14	-2.522613203751295e-05	4.320702072069913e-05	-3.841724648397557e-05	0.000000000000000e+00
449	15	-2.544814323077231e-05	4.354582521707770e-05	-3.811949549530590e-05	0.000000000000000e+00
450	0	-2.686356758828237e-05	4.925400344361405e-05	-3.226510690485943e-05	0.000000000000000e+00
450	1	-2.705229246485783e-05	4.948632293368251e-05	-3.174000941616424e-05	0.000000000000000e+00
450	2	-2.726767520842524e-05	4.974931538899948e-05	-3.105528505157659e-05	0.000000000000000e+00
450	3	-2.741263069053895e-05	4.991990131191962e-05	-3.053130404119822e-05	0.000000000000000e+00
450	4	-2.651546047627830e-05	4.766002482665827e-05	-3.427246592503076e-05	0.000000000000000e+00
450	5	-2.670034439796928e-05	4.789990041442364e-05	-3.382879470524526e-05	0.000000000000000e+00
450	6	-2.690839148110081e-05	4.817479093205556e-05	-3.323812420382285e-05	0.000000000000000e+00
450	7	-2.704696653855145e-05	4.835611760864667e-05	-3.277774295745233e-05	0.000000000000000e+00
450	8	-2.601398463961423e-05	4.541128099153674e-05	-3.647800502804803e-05	0.000000000000000e+00
450	9	-2.620034949291406e-05	4.567757263173951e-05	-3.611981089147288e-05	0.000000000000000e+00
450	10	-2.640894720418985e-05	4.599711349643899e-05	-3.562928181062243e-05	0.000000000000000e+00
450	11	-2.654685520434847e-05	4.622194403395328e-05	-3.525834030921967e-05	0.000000000000000e+00
450	12	-2.555805013942820e-05	4.371898323672811e-05	-3.795830433900783e-05	0.000000000000000e+00
450	13	-2.574590226185275e-05	4.401760247960236e-05	-3.765894137789242e-05	0.000000000000000e+00
450	14	-2.595783678794612e-05	4.436230728078921e-05	-3.727434299964675e-05	0.000000000000000e+00
