要素番号	ガウス点番号	disp_x	disp_y
16	3	-2.013993759198109e-04	1.746479828492935e-06
16	4	-1.920555310660193e-04	8.381580049313629e-06
16	5	-1.948856244160803e-04	8.359529624336050e-06
16	6	-1.985683590660155e-04	8.327957099050304e-06
16	7	-2.013820455188118e-04	8.301272557155926e-06
16	8	-1.919967891745646e-04	1.701769885069976e-05
16	9	-1.948275697447472e-04	1.697297136255793e-05
16	10	-1.985112346606403e-04	1.690897908284316e-05
16	11	-2.013257039692540e-04	1.685503630877720e-05
16	12	-1.919250276148287e-04	2.363843198915725e-05
16	13	-1.947566517615931e-04	2.357644909159204e-05
16	14	-1.984414749711092e-04	2.348783225972795e-05
16	15	-2.012569021092839e-04	2.341323348906511e-05
17	0	-6.298988239077134e-09	1.266555366803735e-06
17	1	1.744562056035800e-07	1.564871256415696e-06
17	2	3.971122730863458e-07	9.471990763301719e-07
17	3	6.659984800244921e-08	8.858715703851630e-07
17	4	-1.223075654169203e-07	-3.992559694332756e-07
17	5	-2.254215809442366e-07	-2.504918836913247e-07
17	6	-2.599522754319457e-07	4.958605262734450e-07
17	7	-9.437231434815676e-07	2.582500459504730e-06
17	8	-3.118594445412843e-07	1.970623797688938e-06
17	9	-1.060545542784321e-06	1.746683178311157e-06
17	10	-1.848454533527269e-06	4.814457556008088e-06
17	11	-3.107858072421728e-06	1.025182645282146e-05
17	12	-4.215153306246734e-07	1.226421908200818e-05
17	13	-1.609631220676464e-06	1.173531251907014e-05
17	14	-2.976779004493354e-06	1.605188550058267e-05
17	15	-4.625244522474086e-06	2.313002101162076e-05
18	0	-4.368062882330729e-07	1.355775074340579e-06
18	1	-2.264689484985429e-06	3.397490126113642e-06
18	2	-7.014178497840334e-06	7.977450852019511e-06
18	3	-1.303150016736983e-05	1.262324225198527e-05
18	4	-1.762926406647489e-06	4.557713503960967e-06
18	5	-4.369897295251455e-06	9.849604431885324e-06
18	6	-1.000369456781152e-05	1.851123244909506e-05
18	7	-1.614728701211629e-05	2.527026117497294e-05
18	8	-4.252426388281764e-06	1.439159650462428e-05
18	9	-7.440845546550088e-06	2.401582448111161e-05
18	10	-1.342400182389684e-05	3.757997384463359e-05
18	11	-1.920417878510091e-05	4.637393394526563e-05
18	12	-5.939472168978849e-06	2.821078023028880e-05
18	13	-9.331608075135013e-06	3.946804004850230e-05
18	14	-1.522953341817679e-05	5.441639660660801e-05
18	15	-2.056232644662979e-05	6.326649089065191e-05
19	0	-1.724643314443218e-05	1.539856093453545e-05
19	1	-2.670304860660517e-05	2.083961953750874e-05
19	2	-3.995148569079463e-05	2.732927641515310e-05
19	3	-4.888624086004211e-05	3.087884061953210e-05
19	4	-2.009953570212351e-05	2.854434576713270e-05
19	5	-2.847299918313893e-05	3.373098875314244e-05
19	6	-3.977284193503945e-05	3.848128796544469e-05
19	7	-4.736761912361524e-05	4.046118576518853e-05
19	8	-2.264467255040945e-05	4.977884215754559e-05
19	9	-2.953106063090262e-05	5.348130099624860e-05
19	10	-3.851294812652912e-05	5.442757992809629e-05
19	11	-4.463423470854125e-05	5.344275962829472e-05
19	12	-2.359572511927564e-05	6.621648535669424e-05
19	13	-2.946047344024871e-05	6.824269490079107e-05
19	14	-3.698473682242721e-05	6.624513759087615e-05
19	15	-4.223699824587329e-05	6.319866637202519e-05
20	0	-5.263971275558608e-05	3.197899709458300e-05
20	1	-5.761254938025357e-05	3.256393120313276e-05
20	2	-6.137057714405449e-05	3.150431688132975e-05
20	3	-6.337250912565326e-05	3.027446397088446e-05
20	4	-5.063094886499123e-05	4.089459920925757e-05
20	5	-5.517810893769460e-05	4.069621184686133e-05
20	6	-5.905049345521284e-05	3.925503835005266e-05
