要素番号	頂点番号	disp_x	disp_y
45	0	-1.357542419113427e-04	5.235940203198519e-05
45	1	-1.467350432393521e-04	5.213482625255633e-05
45	2	-1.345267718820943e-04	7.869193886037632e-05
45	3	-1.456636422147025e-04	7.831263054225151e-05
46	0	-1.467350432393521e-04	5.213482625255631e-05
46	1	-1.577301342285170e-04	5.189476097180287e-05
46	2	-1.456636422147025e-04	7.831263054225149e-05
46	3	-1.567643675651109e-04	7.792292244084149e-05
47	0	-1.577301342285170e-04	5.189476097180287e-05
47	1	-1.687246423979436e-04	5.161831966777824e-05
47	2	-1.567643675651109e-04	7.792292244084149e-05
47	3	-1.678297780543173e-04	7.749256460299284e-05
48	0	-1.687246423979436e-04	5.161831966777824e-05
48	1	-1.797022119947569e-04	5.128701243737405e-05
48	2	-1.678297780543173e-04	7.749256460299284e-05
48	3	-1.788553256110371e-04	7.699155208817846e-05
49	0	-1.797022119947569e-04	5.128701243737405e-05
49	1	-1.906387542589468e-04	5.086972035728237e-05
49	2	-1.788553256110371e-04	7.699155208817846e-05
49	3	-1.898272698056143e-04	7.637638413149990e-05
50	0	-1.906387542589468e-04	5.086972035728237e-05
50	1	-2.014995841423640e-04	5.032095926136440e-05
50	2	-1.898272698056143e-04	7.637638413149990e-05
50	3	-2.007241080447647e-04	7.558489054387840e-05
51	0	0.000000000000000e+00	1.239432998016604e-04
51	1	-5.620375278790282e-06	1.221715592673048e-04
51	2	0.000000000000000e+00	1.541059938953664e-04
51	3	-7.122770783051734e-06	1.486421964960604e-04
52	0	-5.620375278790280e-06	1.221715592673049e-04
52	1	-1.936604599848928e-05	1.117584227270517e-04
52	2	-7.122770783051733e-06	1.486421964960604e-04
52	3	-1.726384613165146e-05	1.377979702841322e-04
53	0	-1.936604599848928e-05	1.117584227270517e-04
53	1	-3.458529804882482e-05	9.688594010518530e-05
53	2	-1.726384613165146e-05	1.377979702841322e-04
53	3	-3.136342236057179e-05	1.269688663327985e-04
54	0	-3.458529804882481e-05	9.688594010518531e-05
54	1	-5.032911232961569e-05	8.891650538017159e-05
54	2	-3.136342236057179e-05	1.269688663327986e-04
54	3	-4.594538610266164e-05	1.189363366783307e-04
55	0	-5.032911232961569e-05	8.891650538017159e-05
55	1	-6.414046186920730e-05	8.452998012672582e-05
55	2	-4.594538610266164e-05	1.189363366783307e-04
55	3	-6.008630502045213e-05	1.138544749985519e-04
56	0	-6.414046186920730e-05	8.452998012672582e-05
56	1	-7.700816925132925e-05	8.223296354638299e-05
56	2	-6.008630502045213e-05	1.138544749985519e-04
56	3	-7.341792051608675e-05	1.107291782614785e-04
57	0	-7.700816925132924e-05	8.223296354638300e-05
57	1	-8.903090548920248e-05	8.093356047791021e-05
57	2	-7.341792051608674e-05	1.107291782614785e-04
57	3	-8.607702069792212e-05	1.087411800166361e-04
58	0	-8.903090548920248e-05	8.093356047791021e-05
58	1	-1.006785845902972e-04	8.010486942212643e-05
58	2	-8.607702069792212e-05	1.087411800166361e-04
58	3	-9.822340218323243e-05	1.074386449327157e-04
59	0	-1.006785845902972e-04	8.010486942212643e-05
59	1	-1.120736124574796e-04	7.953897001262114e-05
59	2	-9.822340218323243e-05	1.074386449327157e-04
59	3	-1.100278104658159e-04	1.064974695745648e-04
60	0	-1.120736124574796e-04	7.953897001262114e-05
60	1	-1.233394004726415e-04	7.908365758025631e-05
60	2	-1.100278104658159e-04	1.064974695745648e-04
60	3	-1.215971425623680e-04	1.057732075661782e-04
61	0	-1.233394004726415e-04	7.908365758025631e-05
61	1	-1.345267718820943e-04	7.869193886037632e-05
61	2	-1.215971425623680e-04	1.057732075661782e-04
61	3	-1.330083600635096e-04	1.051558315823386e-04
62	0	-1.345267718820943e-04	7.869193886037632e-05
62	1	-1.456636422147025e-04	7.831263054225150e-05
62	2	-1.330083600635096e-04	1.051558315823386e-04
62	3	-1.443067560103728e-04	1.045897062962663e-04
63	0	-1.456636422147025e-04	7.831263054225149e-05
63	1	-1.567643675651109e-04	7.792292244084147e-05
63	2	-1.443067560103728e-04	1.045897062962663e-04
63	3	-1.555207039055620e-04	1.040273097980358e-04
64	0	-1.567643675651109e-04	7.792292244084147e-05
64	1	-1.678297780543173e-04	7.749256460299284e-05
64	2	-1.555207039055620e-04	1.040273097980358e-04
64	3	-1.666648296915798e-04	1.034310771379159e-04
65	0	-1.678297780543173e-04	7.749256460299284e-05
65	1	-1.788553256110371e-04	7.699155208817849e-05
65	2	-1.666648296915798e-04	1.034310771379159e-04
65	3	-1.777447589011312e-04	1.027589320823318e-04
66	0	-1.788553256110371e-04	7.699155208817849e-05
66	1	-1.898272698056143e-04	7.637638413149986e-05
66	2	-1.777447589011312e-04	1.027589320823318e-04
66	3	-1.887587858955445e-04	1.019587373685850e-04
67	0	-1.898272698056143e-04	7.637638413149986e-05
67	1	-2.007241080447647e-04	7.558489054387840e-05
67	2	-1.887587858955445e-04	1.019587373685850e-04
67	3	-1.996993541157634e-04	1.009578752649867e-04
68	0	0.000000000000000e+00	1.541059938953664e-04
68	1	-7.122770783051734e-06	1.486421964960604e-04
68	2	0.000000000000000e+00	1.725669492796173e-04
68	3	-8.164828767719598e-06	1.697409159144141e-04
69	0	-7.122770783051733e-06	1.486421964960604e-04
69	1	-1.726384613165146e-05	1.377979702841322e-04
69	2	-8.164828767719596e-06	1.697409159144141e-04
69	3	-1.853577014213246e-05	1.624702002493479e-04
70	0	-1.726384613165146e-05	1.377979702841322e-04
70	1	-3.136342236057179e-05	1.269688663327985e-04
70	2	-1.853577014213246e-05	1.624702002493479e-04
70	3	-3.041305209843470e-05	1.545125707780456e-04
71	0	-3.136342236057179e-05	1.269688663327986e-04
71	1	-4.594538610266164e-05	1.189363366783307e-04
71	2	-3.041305209843470e-05	1.545125707780457e-04
71	3	-4.378182099560505e-05	1.477201137059693e-04
72	0	-4.594538610266164e-05	1.189363366783307e-04
72	1	-6.008630502045213e-05	1.138544749985519e-04
72	2	-4.378182099560505e-05	1.477201137059693e-04
72	3	-5.735977600520784e-05	1.426828248353708e-04
73	0	-6.008630502045213e-05	1.138544749985519e-04
73	1	-7.341792051608675e-05	1.107291782614785e-04
73	2	-5.735977600520784e-05	1.426828248353708e-04
73	3	-7.065295441782143e-05	1.391281950301462e-04
74	0	-7.341792051608674e-05	1.107291782614785e-04
74	1	-8.607702069792212e-05	1.087411800166361e-04
74	2	-7.065295441782143e-05	1.391281950301463e-04
74	3	-8.348501250518390e-05	1.366721895294007e-04
75	0	-8.607702069792212e-05	1.087411800166361e-04
75	1	-9.822340218323243e-05	1.074386449327157e-04
75	2	-8.348501250518390e-05	1.366721895294007e-04
75	3	-9.589530895066876e-05	1.349176695447977e-04
76	0	-9.822340218323243e-05	1.074386449327157e-04
