要素番号	頂点番号	xx	yy	xy	zz
300	0	3.442753452406412e+00	1.402526441151897e+01	3.012429851838665e-03	5.240405359177616e+00
300	1	3.320348221056998e+00	1.364039169521160e+01	2.139168058354656e-03	5.088221974880580e+00
300	2	3.335249307738541e+00	1.402191730081786e+01	2.582237395816070e-01	5.207149982566921e+00
300	3	3.232085218040096e+00	1.364402456610397e+01	2.915743501830541e-01	5.062832935243218e+00
301	0	3.320348221057026e+00	1.364039169521161e+01	2.139168058410492e-03	5.088221974880591e+00
301	1	3.187971999102237e+00	1.330437350493311e+01	-3.339475875133859e-04	4.947703651210605e+00
301	2	3.232085218040034e+00	1.364402456610394e+01	2.915743501830605e-01	5.062832935243191e+00
301	3	3.102105278634586e+00	1.331118736758774e+01	3.170195486602393e-01	4.923987793866697e+00
302	0	3.187971999102264e+00	1.330437350493313e+01	-3.339475875133859e-04	4.947703651210616e+00
302	1	3.048048520961288e+00	1.300346325530710e+01	-2.203548620690589e-03	4.815453532880516e+00
302	2	3.102105278634598e+00	1.331118736758775e+01	3.170195486602393e-01	4.923987793866702e+00
302	3	3.003364550214095e+00	1.303796240881558e+01	3.285155461823224e-01	4.812398087708902e+00
303	0	3.048048520961288e+00	1.300346325530710e+01	-2.203548620690589e-03	4.815453532880516e+00
303	1	2.901639550578592e+00	1.270681282195468e+01	2.051560151966354e-03	4.682535711759983e+00
303	2	3.003364550214095e+00	1.303796240881558e+01	3.285155461823224e-01	4.812398087708902e+00
303	3	2.885406243670714e+00	1.279264748474179e+01	3.159770246040070e-01	4.703416118523752e+00
304	0	2.901639550578592e+00	1.270681282195468e+01	2.051560151966354e-03	4.682535711759983e+00
304	1	2.743290524970607e+00	1.233769596627410e+01	2.259689933257814e-02	4.524295947373414e+00
304	2	2.885406243670714e+00	1.279264748474179e+01	3.159770246040070e-01	4.703416118523752e+00
304	3	2.782629639833144e+00	1.258861063758787e+01	2.583704745534497e-01	4.611372083226305e+00
305	0	2.743290524970607e+00	1.233769596627410e+01	2.259689933257814e-02	4.524295947373414e+00
305	1	2.654929642737334e+00	1.161613250601598e+01	5.450482828877820e-02	4.281318644625993e+00
305	2	2.782629639833144e+00	1.258861063758787e+01	2.583704745534497e-01	4.611372083226305e+00
305	3	2.668511591502644e+00	1.247329237866701e+01	1.324771466510969e-01	4.542541191050895e+00
306	0	2.200409373150425e-01	2.967153989170156e+01	-2.515898304955186e+00	8.967474248704978e+00
306	1	1.557472256934027e+00	2.616965414685340e+01	-1.753655865660408e+00	8.318137921136231e+00
306	2	8.562411837520916e-01	2.812790154981409e+01	-4.882077832960328e+00	8.695242820069852e+00
306	3	1.872541558306009e+00	2.504604334325406e+01	-3.417180930041176e+00	8.075575470468022e+00
307	0	1.557472256934004e+00	2.616965414685339e+01	-1.753655865660400e+00	8.318137921136218e+00
307	1	2.428083275202502e+00	2.347305030321477e+01	-1.201856560992123e+00	7.770340073525180e+00
307	2	1.872541558305967e+00	2.504604334325403e+01	-3.417180930041183e+00	8.075575470467999e+00
307	3	2.513920230791289e+00	2.265665895799035e+01	-2.357027486506724e+00	7.551173756634490e+00
308	0	2.428083275202500e+00	2.347305030321476e+01	-1.201856560992130e+00	7.770340073525180e+00
308	1	2.996772630174338e+00	2.137100939805140e+01	-8.001718683472475e-01	7.310334608467719e+00
